team,date,wins,losses,ties
panthers,2005,11,5,0
panthers,2006,8,8,0
panthers,2007,7,9,0
panthers,2008,12,4,0
panthers,2009,8,8,0
panthers,2010,2,14,0
panthers,2011,6,10,0
panthers,2012,7,9,0
bears,1920,10,1,2
bears,1921,9,1,1
bears,1922,9,3,0
bears,1923,9,2,1
bears,1924,6,1,4
bears,1925,9,5,3
bears,1926,12,1,3
bears,1927,9,3,2
bears,1928,7,5,1
bears,1929,4,9,2
bears,1930,9,4,1
bears,1931,8,5,0
bears,1932,7,1,6
bears,1933,10,2,1
bears,1934,13,0,0
bears,1935,6,4,2
bears,1936,9,3,0
bears,1937,9,1,1
bears,1938,6,5,0
bears,1939,8,3,0
bears,1940,8,3,0
bears,1941,10,1,0
bears,1942,11,0,0
bears,1943,8,1,1
bears,1944,6,3,1
bears,1945,3,7,0
bears,1946,8,2,1
bears,1947,8,4,0
bears,1948,10,2,0
bears,1949,9,3,0
bears,1950,9,3,0
bears,1951,7,5,0
bears,1952,5,7,0
bears,1953,3,8,1
bears,1954,8,4,0
bears,1955,8,4,0
bears,1956,9,2,1
bears,1957,5,7,0
bears,1958,8,4,0
bears,1959,8,4,0
bears,1960,5,6,1
bears,1961,8,6,0
bears,1962,9,5,0
bears,1963,11,1,2
bears,1964,5,9,0
bears,1965,9,5,0
bears,1966,5,7,2
bears,1967,7,6,1
bears,1968,7,7,0
bears,1969,1,13,0
bears,1970,6,8,0
bears,1971,6,8,0
bears,1972,4,9,1
bears,1973,3,11,0
bears,1974,4,10,0
bears,1975,4,10,0
bears,1976,7,7,0
bears,1977,9,5,0
bears,1978,7,9,0
bears,1979,10,6,0
bears,1980,7,9,0
bears,1981,6,10,0
bears,1982,3,6,0
bears,1983,8,8,0
bears,1984,10,6,0
bears,1985,15,1,0
bears,1986,14,2,0
bears,1987,11,4,0
bears,1988,12,4,0
bears,1989,6,10,0
bears,1990,11,5,0
bears,1991,11,5,0
bears,1992,5,11,0
bears,1993,7,9,0
